'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'Cambridge Assessment","'99.79364014"
"'1","'LINE","'International Education","'99.84387970"
"'1","'LINE","'TM","'93.27900696"
"'1","'LINE","'Cambridge IGCSE","'99.64439392"
"'1","'LINE","'PHYSICS","'99.92554474"
"'1","'LINE","'0625/22","'99.84727478"
"'1","'LINE","'Paper 2 Multiple Choice (Extended)","'99.88546753"
"'1","'LINE","'February/March 2024","'99.92691040"
"'1","'LINE","'45 minutes","'99.92440796"
"'1","'LINE","'You must answer on the multiple choice answer sheet.","'99.43306732"
"'1","'LINE","'*","'95.31351471"
"'1","'LINE","'a","'86.89710236"
"'1","'LINE","'You will need: Multiple choice answer sheet","'99.91377258"
"'1","'LINE","'a","'86.63342285"
"'1","'LINE","'Soft clean eraser","'99.89025879"
"'1","'LINE","'8","'86.51083374"
"'1","'LINE","'33","'11.55571747"
"'1","'LINE","'Soft pencil (type B or HB is recommended)","'99.14990234"
"'1","'LINE","'INSTRUCTIONS","'99.73848724"
"'1","'LINE","'There are forty questions on this paper. Answer all questions.","'99.91253662"
"'1","'LINE","'For each question there are four possible answers A, B, C and D. Choose the one you consider correct","'99.42807007"
"'1","'LINE","'*","'93.30216217"
"'1","'LINE","'and record your choice in soft pencil on the multiple choice answer sheet.","'99.93104553"
"'1","'LINE","'Follow the instructions on the multiple choice answer sheet.","'99.92028046"
"'1","'LINE","'Write in soft pencil.","'99.61627197"
"'1","'LINE","'Write your name, centre number and candidate number on the multiple choice answer sheet in the","'99.90388489"
"'1","'LINE","'spaces provided unless this has been done for you.","'99.95878601"
"'1","'LINE","'Do not use correction fluid.","'99.62069702"
"'1","'LINE","'Do not write on any bar codes.","'99.60016632"
"'1","'LINE","'You may use a calculator.","'99.65175629"
"'1","'LINE","'Take the weight of 1.0kg to be 9.8N (acceleration of free fall = 9.8m/s2).","'93.90429688"
"'1","'LINE","'INFORMATION","'99.89568329"
"'1","'LINE","'The total mark for this paper is 40.","'99.97298431"
"'1","'LINE","'Each correct answer will score one mark.","'99.80427551"
"'1","'LINE","'Any rough working should be done on this question paper.","'99.95250702"
"'1","'LINE","'This document has 16 pages.","'99.92167664"
"'1","'LINE","'IB24 4 03_0625_22/4RP","'88.54695892"
"'1","'LINE","'© UCLES 2024","'90.38623810"
"'1","'LINE","'[Turn over","'99.67765808"
"'2","'LINE","'2","'99.89794922"
"'2","'LINE","'1","'99.89196777"
"'2","'LINE","'A student has a measuring cylinder containing water and also has a balance.","'99.87559509"
"'2","'LINE","'Which of these could she use to find the volume of a small metal sphere?","'99.97702026"
"'2","'LINE","'She has no other apparatus.","'99.92388153"
"'2","'LINE","'A","'99.92336273"
"'2","'LINE","'either the measuring cylinder containing water or the balance","'99.97975159"
"'2","'LINE","'B","'94.52747345"
"'2","'LINE","'the measuring cylinder containing water only","'99.97795105"
"'2","'LINE","'C the balance only","'98.82964325"
"'2","'LINE","'D neither the measuring cylinder nor the balance","'99.96046448"
"'2","'LINE","'2","'99.97108459"
"'2","'LINE","'The diagram shows a solid object on a flat surface, with two forces acting on the object.","'99.94709778"
"'2","'LINE","'3N","'97.47322083"
"'2","'LINE","'4N","'97.65639496"
"'2","'LINE","'What is the resultant force on the object?","'99.96463013"
"'2","'LINE","'A 1 N to the left","'98.65793610"
"'2","'LINE","'B 1 N to the right","'97.48580170"
"'2","'LINE","'C 7N to the left","'97.79999542"
"'2","'LINE","'D 7N to the right","'97.31728363"
"'2","'LINE","'3","'99.95519257"
"'2","'LINE","'A ball is falling towards the ground.","'99.74665833"
"'2","'LINE","'Which transfer between energy stores is taking place?","'99.97380829"
"'2","'LINE","'A","'99.80284119"
"'2","'LINE","'elastic energy to kinetic energy","'99.87829590"
"'2","'LINE","'B","'90.69606018"
"'2","'LINE","'gravitational potential energy to elastic energy","'99.91458893"
"'2","'LINE","'C","'95.58082581"
"'2","'LINE","'gravitational potential energy to kinetic energy","'99.85923004"
"'2","'LINE","'D","'99.93851471"
"'2","'LINE","'kinetic energy to gravitational potential energy","'99.84410095"
"'2","'LINE","'4","'99.91424561"
"'2","'LINE","'Which row contains one scalar quantity and one vector quantity?","'99.93391418"
"'2","'LINE","'quantity 1","'99.89306641"
"'2","'LINE","'quantity 2","'99.95909119"
"'2","'LINE","'A","'99.76807404"
"'2","'LINE","'energy","'99.99135590"
"'2","'LINE","'velocity","'99.95191956"
"'2","'LINE","'B","'94.93175507"
"'2","'LINE","'mass","'99.96595001"
"'2","'LINE","'time","'99.89213562"
"'2","'LINE","'C","'96.61907959"
"'2","'LINE","'momentum","'99.86103821"
"'2","'LINE","'weight","'99.97903442"
"'2","'LINE","'D","'99.92106628"
"'2","'LINE","'distance","'99.94593048"
"'2","'LINE","'temperature","'99.84183502"
"'2","'LINE","'© UCLES 2024","'84.76879883"
"'2","'LINE","'0625/22/F/M/24","'99.08800507"
"'3","'LINE","'3","'99.96919250"
"'3","'LINE","'5","'99.93882751"
"'3","'LINE","'The table gives data about four liquids, W, X, Y and Z.","'99.63164520"
"'3","'LINE","'liquid","'99.87446594"
"'3","'LINE","'mass /g","'99.13391113"
"'3","'LINE","'volume/cm³","'51.05274200"
"'3","'LINE","'W","'99.38366699"
"'3","'LINE","'10","'99.99148560"
"'3","'LINE","'10","'99.97300720"
"'3","'LINE","'X","'94.74187469"
"'3","'LINE","'20","'99.98832703"
"'3","'LINE","'15","'99.97875977"
"'3","'LINE","'Y","'99.85767365"
"'3","'LINE","'30","'99.98679352"
"'3","'LINE","'50","'99.99256897"
"'3","'LINE","'Z","'98.17510986"
"'3","'LINE","'40","'99.98809052"
"'3","'LINE","'50","'99.99360657"
"'3","'LINE","'None of the liquids mixes with any of the other liquids.","'99.93000031"
"'3","'LINE","'All the liquids are put in the same container and settle to form four separate layers.","'99.94387054"
"'3","'LINE","'Which statement is correct?","'99.97758484"
"'3","'LINE","'A","'99.62135315"
"'3","'LINE","'W forms the layer below X.","'99.59407806"
"'3","'LINE","'B","'97.68907166"
